Name,Theme,Type,Neighborhood,What it is,Why we flagged it,Link,Google Maps,Latitude,Longitude,Pin precision,Day
Senso-ji,Photography,See,Asakusa,Tokyo's oldest temple + Nakamise street,"The ""downbeat"" temple — 7am, empty, first roll",https://www.senso-ji.jp/,https://www.google.com/maps/search/?api=1&query=Senso-ji%20Asakusa%20Tokyo%20Japan,35.7148,139.7967,exact,
Meiji Jingu,Core/other,See,Harajuku,Forest shrine inside the city,"The deliberate ""rest"" between loud days",https://www.meijijingu.or.jp/,https://www.google.com/maps/search/?api=1&query=Meiji%20Jingu%20Harajuku%20Tokyo%20Japan,35.6764,139.6993,exact,
Nezu Shrine,Photography,See,Nezu/Yanaka,Quiet shrine with a red torii tunnel,Fushimi-Inari-style gates without crowds; folds into Yanaka,,https://www.google.com/maps/search/?api=1&query=Nezu%20Shrine%20Nezu%20Tokyo%20Japan,35.7202,139.7605,exact,
Kanda Myojin,Core/other,See,Sotokanda,Ornate shrine near Akihabara,Tech-and-tradition combo; pairs with Akihabara,,https://www.google.com/maps/search/?api=1&query=Kanda%20Myojin%20Sotokanda%20Tokyo%20Japan,35.7019,139.7679,exact,
Atago Shrine,Core/other,See,Atago,"Hilltop shrine up the ""success stairs""","Quick, quirky, photogenic climb",,https://www.google.com/maps/search/?api=1&query=Atago%20Shrine%20Atago%20Tokyo%20Japan,35.6656,139.7495,exact,
Shibuya Sky,View,See,Shibuya,Open-air rooftop observation deck,"The ""wow"" view — book sunset ~1 month out",https://www.shibuya-scramble-square.com/sky/,https://www.google.com/maps/search/?api=1&query=Shibuya%20Sky%20Shibuya%20Tokyo%20Japan,35.658,139.7016,exact,
Asakusa free deck,View,See,Asakusa,8F terrace at the Culture Center,Free Skytree-and-temple view on your doorstep,,https://www.google.com/maps/search/?api=1&query=Asakusa%20Culture%20Tourist%20Information%20Center%20Asakusa%20Tokyo%20Japan,35.711,139.7966,exact,
Miyashita Park,Core/other,See,Shibuya,Rooftop park over the shopping deck,Free green escape; pairs with Shibuya evening,,https://www.google.com/maps/search/?api=1&query=Miyashita%20Park%20Shibuya%20Tokyo%20Japan,35.6614,139.7014,exact,
Hotel Chinzanso Garden,Photography,See,Bunkyo,Hillside garden with evening mist show,Fog-and-lantern dreamscape; dusk only,,https://www.google.com/maps/search/?api=1&query=Hotel%20Chinzanso%20Tokyo%20Bunkyo%20Tokyo%20Japan,35.7113,139.7253,exact,
Map Camera,Photography,Shop,Shinjuku,6 floors of graded used cameras,Buy-a-film-camera day; tax-free; film at Yodobashi next door,https://www.mapcamera.com/,https://www.google.com/maps/search/?api=1&query=Map%20Camera%20Shinjuku%20Tokyo%20Japan,35.6905,139.6985,exact,
Fujiya Camera,Photography,Shop,Nakano,80-year dealer at Nakano Broadway,Half the 2nd floor is Mamiya + Hasselblad,https://www.fujiya-camera.co.jp/shop/default.aspx,https://www.google.com/maps/search/?api=1&query=Fujiya%20Camera%20Nakano%20Tokyo%20Japan,35.708,139.665,exact,
Yodobashi Camera,Photography,Shop,Shinjuku,Mega electronics + film stock,"Cheap film, batteries; steps from Map Camera",,https://www.google.com/maps/search/?api=1&query=Yodobashi%20Camera%20Shinjuku%20Tokyo%20Japan,35.6899,139.6976,exact,
Sekaido,Drawing,Shop,Shinjuku,5-floor discount art-supply store,Load up on sketchbooks and pens,,https://www.google.com/maps/search/?api=1&query=Sekaido%20Shinjuku%20Tokyo%20Japan,35.6925,139.7051,exact,
Pigment Tokyo,Drawing,Shop,Tennozu,"Gallery-store of ~4,500 pigments",A cathedral of materials; workshops bookable,https://pigment.tokyo/,https://www.google.com/maps/search/?api=1&query=Pigment%20Tokyo%20Tennozu%20Isle%20Tokyo%20Japan,35.618,139.7495,exact,
Jimbocho,Drawing,Shop,Jimbocho,Secondhand + art-book town,"""Coolest neighborhood"" per Time Out; vintage prints",,https://www.google.com/maps/search/?api=1&query=Jimbocho%20book%20town%20Chiyoda%20Tokyo%20Japan,35.6957,139.7578,exact,
Five G Music Technology,Sound/gear,Shop,Harajuku,Legendary vintage synth + eurorack shop,The pilgrimage stop; around the corner from Fender flagship,,https://www.google.com/maps/search/?api=1&query=Five%20G%20Music%20Technology%20Harajuku%20Tokyo%20Japan,35.6706,139.7069,exact,
Echigoya Music,Sound/gear,Shop,Shibuya,"Vintage synths + eurorack, near Tower Records","Smaller Five G; 10 min from Shibuya, pairs with Shibuya Sky",,https://www.google.com/maps/search/?api=1&query=Echigoya%20Music%20Shibuya%20Tokyo%20Japan,35.662,139.699,area,
Wurly's by Miyaji Music,Sound/gear,Shop,Akihabara,Newer modular/electronic shop,Fits the Akihabara sampling + arcade stop,,https://www.google.com/maps/search/?api=1&query=Wurly's%20by%20Miyaji%20Music%20Akihabara%20Tokyo%20Japan,35.699,139.771,area,
SUBTOKYOSHOP Music Gears,Sound/gear,Shop,Tokyo,Vintage synth + pro-audio specialist since 2012,"Serviced vintage gear, 1-month warranty; very your world",https://subtokyoshop.com/,https://www.google.com/maps/search/?api=1&query=SUBTOKYOSHOP%20Music%20Gears%20Tokyo%20Japan,35.6812,139.7671,area,
ClockFace Modular,Sound/gear,Shop,Tokyo (showroom),"Modular showroom you can try, owner Rintaro",Email ahead; brings new euro modules to Japan,,https://www.google.com/maps/search/?api=1&query=ClockFace%20Modular%20Tokyo%20Japan,35.6812,139.7671,area,
Tokyo Tape Music Center,Sound/gear,Shop,Tokyo,Buchla + eurorack specialist,West-Coast-synthesis corner; confirm hours,https://tokyo-tape-music-center.com/,https://www.google.com/maps/search/?api=1&query=Tokyo%20Tape%20Music%20Center%20Tokyo%20Japan,35.6812,139.7671,area,
Ochanomizu music street,Drums,Shop,Ochanomizu,Blocks of instrument shops,Walls of gear incl. traditional; gear-nerd heaven,,https://www.google.com/maps/search/?api=1&query=Ochanomizu%20musical%20instrument%20street%20Tokyo%20Japan,35.6995,139.765,exact,
Fullcount Tokyo,Menswear,Shop,Harajuku,Osaka Five heritage raw-denim brand,Called one of the best raw-denim spots in Tokyo,,https://www.google.com/maps/search/?api=1&query=Fullcount%20Tokyo%20Harajuku%20Tokyo%20Japan,35.669,139.707,area,
Studio D'Artisan,Menswear,Shop,Harajuku,"Original ""Osaka Five"" label",Revived old techniques; full range at Harajuku store,,https://www.google.com/maps/search/?api=1&query=Studio%20D'Artisan%20Harajuku%20Tokyo%20Japan,35.67,139.706,area,
Samurai Jeans,Menswear,Shop,Harajuku,"Heavyweight raw denim, est. 1997","Wagyu-leather patches, own cotton; cult following",,https://www.google.com/maps/search/?api=1&query=Samurai%20Jeans%20Harajuku%20Tokyo%20Japan,35.6695,139.7065,area,
Hinoya,Menswear,Shop,Ueno/Okachimachi,Multi-brand denim strip,"Momotaro, Samurai, KAPITAL under one roof — compare makers",,https://www.google.com/maps/search/?api=1&query=Hinoya%20Okachimachi%20Ueno%20Tokyo%20Japan,35.707,139.774,exact,
Iron Heart,Menswear,Shop,Ebisu,Heavyweight workwear denim,"14oz to a stiff 25oz; the ""nappy"" heavyweight pick",,https://www.google.com/maps/search/?api=1&query=Iron%20Heart%20Ebisu%20Tokyo%20Japan,35.6467,139.71,area,
Momotaro Jeans,Menswear,Shop,Aoyama,Premium authentic Japanese denim,Often called the best denim purchase in Japan,,https://www.google.com/maps/search/?api=1&query=Momotaro%20Jeans%20Aoyama%20Tokyo%20Japan,35.665,139.712,area,
Evisu,Menswear,Shop,Daikanyama,"Osaka Five flagship, raw selvedge",Full collection at the Daikanyama flagship,,https://www.google.com/maps/search/?api=1&query=Evisu%20Daikanyama%20Tokyo%20Japan,35.6485,139.703,area,
Edwin flagship,Menswear,Shop,Tokyo,Multi-level range + free hemming/tapering,"Expert tailors dial in the break — the ""souvenir you wear""",,https://www.google.com/maps/search/?api=1&query=Edwin%20flagship%20store%20Tokyo%20Japan,35.6812,139.7671,area,
Makers Pride of Craft,Menswear,Shop,Daikanyama,Custom denim workshop,Build a pair yourself — rhymes with the taiko-lesson thread,,https://www.google.com/maps/search/?api=1&query=Makers%20Pride%20of%20Craft%20Daikanyama%20Tokyo%20Japan,35.649,139.7035,area,
Eva Kestner International Taiko Drum Academy,Drums,Do,Daikanyama,90-minute hands-on taiko workshop or private lesson with professional bilingual taiko drummer Eva Kestner.,"Probably the strongest lesson option for a musically interested parent and teen: Eva teaches in English, works with beginners and experienced players, and teaches children as young as four. The emphasis is on actual technique, rhythm and playing rather than simply a tourist demonstration.",https://www.eva-kestner.com/lessons,https://www.google.com/maps/search/?api=1&query=Eva%20Kestner%20International%20Taiko%20Drum%20Academy%20Mirai%20Taiko%20Studio%20Daikanyama%20Tokyo,35.651,139.703,area,
Taiko no Tatsujin arcade,Drums,Do,Akihabara,Arcade game with a real drum,The hi/lo rhyme after the real lesson,,https://www.google.com/maps/search/?api=1&query=Taiko%20no%20Tatsujin%20arcade%20Akihabara%20Tokyo%20Japan,35.699,139.7715,area,
Game Center Mikado,Core/other,Do,Takadanobaba,Floors of vintage arcade cabinets,Retro analog-nostalgia; on the way to Nakano,,https://www.google.com/maps/search/?api=1&query=Game%20Center%20Mikado%20Takadanobaba%20Tokyo%20Japan,35.713,139.704,exact,
Livehouse gig,Drums,Do,Shimokitazawa,Small-club local band show,All-ages (1-drink min); check Tokyo Gig Guide in Sept,https://www.tokyogigguide.com/,https://www.google.com/maps/search/?api=1&query=Live%20house%20Shimokitazawa%20Tokyo%20Japan,35.6613,139.668,area,
